Row.names	B8011	B8012	B8013	LF11	LF12	LF13	Var.8	PC1	PC2	PC3	PC4	PC5	PC6	classification	Var.2	.1	.2
1	alanine 1	0.17391084	0.11929899	0.173012023	0	0	0	±û°±Ëá	-0.073174691	-0.009561684	0.000162501	0.016702919	-0.115540287	0.002160009	amino acids and amides	0.155407284	0.097437004	7.289163893
2	Atrazine-2-hydroxy 3	0.178553283	0.149408382	0.148954355	0	0	0	Ý¬È¥½ò- 2 -ôÇ»ù3	-0.074137444	-0.013915765	0.00276882	0.024372706	0.021609894	0.000327308	sugar alcohols	0.158972007	0.099454246	7.321675661
3	citric acid	0.108693447	0.095995964	0.085302798	0	0	0	ÄûÃÊËá	-0.07375484	-0.01514125	0.003553533	0.026532707	0.064044535	-0.037085871	short chain carbon organic acids	0.096664069	0.06043292	6.609755989
4	D-erythronolactone 1	0.025205959	0.020479167	0.021679857	0.005650446	0.006056225	0.004917972	ºìÏ¸°ûÍª	-0.066240537	-0.044364172	0.045131855	0.132112215	-0.028843446	0.059784098	esters	0.022454994	0.01593649	1.842191235
5	D-Glyceric acid	0.525427726	0.534755331	0.573493441	0.157114778	0.147331669	0.149385253	D glycericËá	-0.059329021	-0.132053576	0.054831468	-0.02716505	-0.037582366	0.134566845	short chain carbon organic acids	0.544558833	0.42178785	1.841034522
6	DL-dihydrosphingosine 1	0.168619864	0.135666519	0.143511215	0	0	0	DL -¶þÇâÇÊ°±´¼1	-0.0742193	-0.011852097	0.002130465	0.024211925	-0.000329253	0.020395971	alcohols	0.149265866	0.093059245	7.231373518
7	fumaric acid	0.072922073	0.083371153	0.088054345	0.011402261	0.015123981	0.012120322	´óÂéËá	-0.066590404	-0.102665948	0.001904171	0.020607143	-0.018770483	-0.039945219	amino acids and amides	0.08144919	0.060942586	2.570270339
8	L-Malic acid	0.177639157	0.25893055	0.214486058	0.016510872	0.017681073	0.016239281	L -Æ»¹ûËá	-0.067539597	-0.088071914	0.016163472	-0.012862103	0.111959482	0.002886542	short chain carbon organic acids	0.217018588	0.16330916	3.613658606
9	O-phosphonothreonine 4	0.004292784	0.004708255	0.00239239	0	0	0	ÁÚphosphonothreonine 4	-0.068485757	-0.019619306	0.0067239	0.034433223	0.241806477	-0.047398083	amino acids and amides	0.00379781	0.002366882	2.262375954
10	Pyruvic acid	0.050358894	0.047741675	0.050214827	0	0	0	±ûÍªËá	-0.073687963	-0.033446885	0.005635504	0.0087658	-0.00044667	0.005435855	short chain carbon organic acids	0.049438465	0.032652167	5.656452477
11	succinic acid	1.742301486	1.997406063	2.05117745	0.563693627	0.556962249	0.529941744	çúçêËá	-0.048094747	-0.171129515	0.057112207	-0.018720588	0.011916264	0.048830158	short chain carbon organic acids	1.930295	1.537425714	1.808922832
12	tartaric acid	0.115953093	0.124468819	0.121881171	0.034285793	0.036415987	0.035133422	¾ÆÊ¯Ëá	-0.04999692	-0.167509553	0.012077506	0.023404031	0.091988651	-0.130655312	short chain carbon organic acids	0.120767694	0.093545261	1.746948661
13	Threitol	0.389299117	0.30276644	0.304193317	0.063790374	0.055547661	0.053920581	ÒÒ´¼	-0.073168334	0.003523614	0.032018001	0.050524614	0.03528438	-0.070566762	sugar alcohols	0.332086291	0.223583377	2.503164704
