id	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23
Analyte 1	38590.021	49562.338	1624.969				187.627	59592.182	103418.904	0	330.236	108497.141
Analyte 2	13713891	19481579.3	20106936.8	20163041.3	24168150.7	23644492.3	9808218.76	7426899.88	11238517.2	20916315.8	17762797.3	19915662.7
Analyte 3	16191955.3	22822024.6	22812506.2				21004880.4	16004790.8	22276262.1	25396807.9	21933269.4	22881171.8
Analyte 4	3947373.94	4237843.14	4159967.27				4011048.39	2833187.07	3886783.74	4633602.51	3591994.4	4045106.22
Analyte 5	7351671.81	8756365.83	8278070.9	1782809.25	1112645.91	1262218.06	7060560.85	4088325.09	6641822.87	8817709.09	6265254.49	7005511.11
Analyte 6	432816.779	511853.418	478854.864				518486.985	302874.146	482329.346	545014.415	407455.857	469529.503
Analyte 7	533428.854	706845.837	706124.067				474015.756	289753.37	485939.378	693844.774	486280.021	563377.148
Analyte 8	130558.952	52717.347	61524.983				44319.827			77760.914	56672.74	75275.247
Analyte 9	420430.06	1108153.77	1165855.17				1226683.19	684625.472	1435273.92	2045903.83	1723220.88	1965320.79
Analyte 10	1348956.66	1765310.82	1879604.28	5063119.5	6481413.04	6922951.42	3096999.35	1856503.67	3578815.64	2005314.57	1631873.65	2063561.25
Analyte 11	30847.807	31358.289	33106.809				35956.512		36229.724			
Analyte 12	13806480.6	11353137.8	20642752.5	7564023.61	582793502	16864805.5	2091966.55	1733083.46	2228470.64	12532135	4476804.1	4209156.44
Analyte 13				147611.216	150533.657	148615.811						
Analyte 14									7264.964	55274.873		45861.468
Analyte 15										235069.957	211510.625	252454.783
Analyte 16		197335.918	237544.866				85173.962	78360.006	189807.678			
Analyte 17	61755.734	82627.922	69765.243				75628.357	51089.84	80507.164	115148.534	67345.823	
Analyte 18	107750.075	139061.251	109672.221							196215.032	107546.884	126770.409
Analyte 19	43704.368	88486.646	76144.912		1072666.78	983168.72	88845.153	64428.351	94314.209	227789.137	152099.067	179501.673
Analyte 20				91178.954	841.871	1458.349						
Analyte 21		75641.872	64025.104				78959.748	53686.114	69809.67	90918.082	60850.911	72310.498
Analyte 22				32878.117	59926.307	57688.175						
Analyte 23	631513.725		440798.722					94793.713		490645.475		585646.164
Analyte 24								6633.904	7064.531			9574.084
Analyte 25	286806.809	176118.864	144219.755	262047.853	333180.53	282163.033	163858.53	97933.771	102216.566	365270.65	210466.619	263582.492
Analyte 26				2931934.35	3065864.56	2953106.01						
Analyte 27		67830.606	83083.755	762160.976	869438.232	765176.901	61561.297	61369.244	82841.048	192124.349	140538.903	187485.672
Analyte 28			10866.796				7198.798	9975.668	12208.454	40788.054	30828.907	39255.803
Analyte 29	66541.438						28231.975	13707.898				
Analyte 30	209213.309	162935.97	176468.639				221315.748	157028.968			195989.388	228856.153
Analyte 32		623826.441	706558.24				291924.478	262706.994	638951.936	607275.514	637711.151	715661.367
Analyte 34		166593.219	217140.185	10299566.6	10693823.8	9960949.89			211525.127		154104.704	
Analyte 35	1937972.07	2341396.46	2203026.93	2132611.55	2327759.57	2187985.53	2313751.78	1811962.13	2514179.3	2666347.48	2140364.07	2486997.96
Analyte 36	253614.815	305740.572	284412.95	262371.602	293940.661	279715.969	301135.229	205473.133	306143.588	338559.82	271386.927	301106.866
Analyte 37				165230.898	156527.11	136184.913						
Analyte 38	436866.542	331831.384	232549.416				234887.091	98517.729	68759.942	271596.18	150451.83	
Analyte 39	1121966.55	1715939.09	1663104.51	5512334.99	5216426.77	5211685.75	1070806.79	714743.577	1172431.5	5485685.28	3928208.53	4175593.81
Analyte 40	111952.975	76420.981	56223.031	387848.151	424610.185	411316.123	74586.408	44312.948	35866.624	129033.267	84026.177	88498.36
Analyte 41	991208.785	1020446.83	861353.353	1922685.17	2180266.72	2247585.62	1172639.8	802784.486	1109063.82	1850670.95	1301680.84	1448813.88
unknown	20818.789	29478.481	24640.749	39549.261	48684.416	68684.126			35274.626	38222.158	24896.443	36212.506
Analyte 43				14422.009	17225.334	16569.265				78212.619	63110.278	71121.449
Pyruvic acid	38357.499	44892.391	44334.198				51008.591	34168.665	50542.661	49435.297	40325.512	41760.644
Analyte 45	151928.551	200615.48	203342.254	689011.47	772402.464	803473.726	293699.524	187537.34	311933.675	365336.563	265475.147	287467.828
2-hydroxypyridine	26091.075	31919.067	31603.366	22987.512	29575.247		38649.218	21607.552	41590.414	44165.583	38824.773	35139.383
unknown	708616.932	848171.402	764250.041	1908669.73	2105296.7	1777525.11	1028797.35	801647.642	918858.049	1530957.28	1158057.51	1213456.94
Analyte 48	3966855.78	4586507.69	4141930.59	14830071	16411209	15509836.3	3939078.12	2798379.72	3071508.73	8632216.63	6301920.05	6521430.24
Analyte 49	36174.138	48228.198	43159.665				49633.106	36238.16	42641.516	50427.014	40951.877	45868.339
Analyte 50				470406.055	624064.368	586730.602						
lactic acid	8419503.26	10322031.3	9921180.53	73827543.9	79062533.8	75291396.6	3666045.12	1976897.79	3841630.18	31183164.5	18348171.4	19372547.4
Analyte 52	15905.541	13636.24	13591.682					8909.286	8684.087	379176.245	216330.725	219279.659
Analyte 53	1500289.01	1953223.17	1851770.9	33927758.3	36570232.1	32929739.2	2046062.21	1404110.83	2042955.69	2391813.41	1949737.79	2120894.65
unknown	65161.769	76461.217	72854.695				62638.516	52889.026	70579.727	93104.374	74086.719	92601.222
unknown	139898.61	198089.911	194230.59	2115.088		1102.343	35074.684	26976.626	35029.418	759653.714	609526.147	685961.876
unknown	66809.832	81574.867										42131.783
Analyte 57									12086.678	29613.74	9431.873	
glycolic acid	2042001.83	2952460.28	2681521.01	3481081.22	4244498.77	3805808.1	913886.91	655980.044	1009848.41	1224713.72	879032.036	1025921.72
Analyte 59										19283.19	16099.466	18409.029
Analyte 60	99711.148	83989.001	67098.629				109542.449	57858.798	54412.152			
Analyte 61				98009.386	129899.391	99845.356						9137.115
Analyte 62		14775.195					10028.163		33899.562			
Analyte 63	739254.191	14815156.7	14584073.7	120658.551	2923486.77	3143420.97	3284932.76	4232655.85	9837258.38	3484689.46	4021610.81	3606294.7
Analyte 64	28520.421			1718.013	15070.909							
Analyte 65				14845.822	34953.946	31914.237						
Analyte 66	29595.195	57866.261	57415.845	441369.951	393826.69	285935.359	38183.443	33442.518	53531.661	170794.947	135138.754	151167.999
Analyte 67				242855.119	214763.879	140513.751				35566.966	26846.731	31735.888
Analyte 68				45907.544	45239.279	41695.301				36520.85	28304.206	
Analyte 69				122216.018	77804.68	54587.925				100541.693	53021.501	
alanine 1		112179.074	152750.686						28409.168	57600.519	81431.675	90836.357
Analyte 71	171082.558	228679.123	219868.969				236948.672	161863.685	227344.277	266440.139	221648.662	232202.505
unknown				2251977.2	2234182.96	2034165.6						
Analyte 73	37965.698		45549.048				48434.583	37414.163	45249.105	58836.877	49657.249	51681.711
Analyte 74				71972.817	84235.825	66644.049						
Analyte 75	214747.465	453070.65	445958.169	41625.164	48654.7	32942.174	420448.167	311201.12	444191.893	308267.823	265379.773	301861.168
Analyte 76				11888.441	12534.427	8371.024						
hydroxylamine	230339.155	326627.468	318549.865				55393.463	42190.935	61022.343	1239139.18	977563.249	1093712.75
Analyte 78										7925.492	9682.449	10988.639
unknown				57858.216	56413.64	56714.595						
unknown	56431.892	113885.042	102992.07	395451.708	304899.106	295960.788	105037.6	65311.753	109076.69	116253.088	101317.176	107640.267
Analyte 81	77910.994	31427.853	25095.451	24667.994	20869.212	17720.575		24294.524		41570.212	28866.476	29056.643
Analyte 82	125296.27	182764.165	170790.434	267312.589	288087.772	243621.286	183293.993	131169.911	160280.986	187619.872	157274.184	177985.27
2-Ketovaleric acid 2		26209.728	25169.306				26086.558		31050.268			
3-Hydroxypropionic acid 1	2170790.72	3786308.89	3755783.37	2036301.67	2045293.4	2034795.71	4136471.6	2830502.52	4109786.14	2102430.47	1700477.73	1506105.06
Analyte 85				161600.086	139205.821	143255.14						
Lactamide 2	16134.674	21129.33	21184.979				10603.423		11510.41			
Analyte 87					56204.197			19389.799		31916.294	26914.231	31086.744
Analyte 88	8125.74	11508.076	13025.594							33354.724	24020.94	32867.038
unknown		39269.661	47061.62	401400.706	586724.93	499636.579	54582.471	34398.864	67701.429	75764.611	62947.952	83503.073
Analyte 90		15348.381	21987.353								95709.302	104185.045
Analyte 91	16128.141		16928.421				13159.584	7713.417	11521.064	21147.102	16405.772	18155.633
Analyte 92				359763.563	350256.672	356982.084						
Analyte 93	8142.3	23126.04	21826.782	23417.616	40642.696	31917.509	19762.714	13149.624		22771.758	17766.061	17498.687
Analyte 94	13955.755	14950.104					21868.74	10306.256				
3-hydroxybutyric acid	78540.977	86240.918	97135.625	218928.854	228402.014	188851.449	31866.174	23338.187	30524.637	56027.242	45587.529	37684.964
unknown		7664.246	6196.035					3236.916	4004.926	34788.779		17080.384
sulfuric acid	502983.042	375838.57	443848.676	590003.954	745586.06	535746.19	243271.2	218576.278	198853.195	251088.661	292120.889	287239.742
4-HYDROXYPYRIDINE				556303.216						191247.251	130014.39	150523.424
Analyte 99	5568.6	6616.413								8329.81		
Analyte 100	55794.927	81152.711	75730.598	80391.272	82277.16	74037.334	45849.401	28672.757	48337.303	94337.847	71759.647	72032.891
Analyte 101	261207.882	156610.393	108158.006	10058.896			93898.787	38637.103	16639.949	75393.926	41005.784	33383.051
unknown				64189.498	57626.092	49157.25						
Analyte 103	37173.886	49858.289	41891.395	20922.907	26183.24		34056.859	20965.868	23790.62	92129.125	61214.195	60245.384
Analyte 104	241450.925	344358.406	327305.325	3525172.29	3845567.48	3169109.43	390343.977	275455.301	390247.823	424250.288	370871.847	415634.149
Analyte 105				24011.138	21852.512	20202.886				41346.963	25575.706	25278.194
Analyte 106	16489.59	31261.1	24481.475				20644.278	11043.321	15100.595	166796.924	93359.329	95980.568
phenylacetaldehyde 1				267014.932	228188.654	166574.836						
Analyte 108				45012.436	49912.224	61497.547						
Analyte 109		22139.422							21922.91		27831.776	28482.647
Analyte 110	27504.89			11690.333	13836.457		24888.16	16397.32		28309.757	20059.806	18161.126
unknown	37437.528	42503.038	45485.552	375131.754	398154.119	337516.644	15217.206	10692.24	12941.875		64091.687	65780.156
malonic acid 1	143538.17	133018.909	113408.964	271739.538	255453.925	214528.358	196738.26	115758.892	121849.043	284887.2	179839.359	176453.521
Analyte 113				211883.132	389896.646	362276.661				47893.866	48450.441	72984.123
Analyte 114				49093.099	52731.16	50849.713				69626.667	53715.352	60025.676
Analyte 115				13141.887	15829.134	13460.489	7240.335	5662.922	5968.868	10317.203	6254.581	10021.549
unknown				172675.752	168970.049	137943.768						
Methylmalonic acid						71020.516				22788.761	14376.596	17261.439
unknown	47897.499	64317.166	73409.42	121217.62	102449.174	86666.111	85200.739	74090.582	73264.367	121451.214	109022.856	126022.717
Analyte 119	9819.432		21406.628							52102.966		37316.108
valine			20503.246		77996.287	84045.653			17514.678	63503.813	72924.796	88773.57
Analyte 121					25980.906	31357.39	8815.954					
