	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23	id
1	38590.021	49562.338	1624.969	0	0	0	187.627	59592.182	103418.904	54413.6885	330.236	108497.141	Analyte 1
2	13713891	19481579.3	20106936.8	20163041.3	24168150.7	23644492.3	9808218.76	7426899.88	11238517.2	20916315.8	17762797.3	19915662.7	Analyte 2
3	16191955.3	22822024.6	22812506.2	0	0	0	21004880.4	16004790.8	22276262.1	25396807.9	21933269.4	22881171.8	Analyte 3
4	3947373.94	4237843.14	4159967.27	0	0	0	4011048.39	2833187.07	3886783.74	4633602.51	3591994.4	4045106.22	Analyte 4
5	7351671.81	8756365.83	8278070.9	1782809.25	1112645.91	1262218.06	7060560.85	4088325.09	6641822.87	8817709.09	6265254.49	7005511.11	Analyte 5
6	432816.779	511853.418	478854.864	0	0	0	518486.985	302874.146	482329.346	545014.415	407455.857	469529.503	Analyte 6
7	533428.854	706845.837	706124.067	0	0	0	474015.756	289753.37	485939.378	693844.774	486280.021	563377.148	Analyte 7
8	130558.952	52717.347	61524.983	0	0	0	0	0	0	77760.914	56672.74	75275.247	Analyte 8
9	420430.06	1108153.77	1165855.17	0	0	0	1226683.19	684625.472	1435273.92	2045903.83	1723220.88	1965320.79	Analyte 9
10	1348956.66	1765310.82	1879604.28	5063119.5	6481413.04	6922951.42	3096999.35	1856503.67	3578815.64	2005314.57	1631873.65	2063561.25	Analyte 10
11	30847.807	31358.289	33106.809	0	0	0	35956.512	36093.118	36229.724	0	0	0	Analyte 11
13	0	0	0	147611.216	150533.657	148615.811	0	0	0	0	0	0	Analyte 13
14	0	0	0	0	0	0	0	0	0	55274.873	50568.1705	45861.468	Analyte 14
15	0	0	0	0	0	0	0	0	0	235069.957	211510.625	252454.783	Analyte 15
16	217440.392	197335.918	237544.866	0	0	0	85173.962	78360.006	189807.678	0	0	0	Analyte 16
17	61755.734	82627.922	69765.243	0	0	0	75628.357	51089.84	80507.164	115148.534	67345.823	91247.1785	Analyte 17
18	107750.075	139061.251	109672.221	0	0	0	0	0	0	196215.032	107546.884	126770.409	Analyte 18
