id	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23	classification
xylose 2	569170.774	690312.763	627909.126	736334.928	718318.909	661438.533	181342.812	64093.305	169764.601	263530.698	155243.68	165530.125	sugars
xylitol	325916.462	314936.077	300251.497	369377.558	328856.176	274943.171	1198914.56	857188.352	1098978.01	189145.718	107169.785	113719.742	sugar alcohols
xanthosine	0	0	0	0	0	0	0	0	0	162.203	199.1285	236.054	nucleotides
valine	0	0	0	81020.97	77996.287	84045.653	0	0	0	63503.813	72924.796	88773.57	amino acids and amides
urocanic acid 2	0	0	0	81397.9395	86122.307	76673.572	26975.977	27850.756	53185.937	64896.109	27012.032	22215.02	others
uridine 1	20544.994	19940.067	21149.921	34872.663	34802.144	34943.182	0	0	0	16329.542	6050.733	11190.1375	nucleotides
urea	0	0	0	0	0	0	0	0	0	504784.929	601912.698	701671.742	others
uracil	0	0	0	16083.321	52625.19	49708.394	0	0	0	14901.459	19269.824	22625.433	nucleotides
trehalose	523139.016	512363.249	481412.92	457340.912	563853.222	579262.177	3197749.77	2501288.45	2963635.02	221094.895	188140.159	172319.733	sugars
"trans-3,5-Dimethoxy-4-hydroxycinnamaldehyde 1"	58249.789	54610.004	61889.574	0	0	0	0	0	0	0	0	0	others
"trans,trans-Muconic acid"	38995.6025	42446.306	35544.899	65985.545	74095.834	57875.256	57405.512	35310.807	44361.835	92830.776	51722.281	38396.637	short chain carbon organic acids
Thymol	0	0	0	0	0	0	0	0	0	102362.916	60551.762	35538.919	others
thymidine 5'-monophosphate degr prod	0	0	0	128897.723	138274.416	141564.757	0	0	0	0	0	0	others
threonine 1	0	0	0	28580.2605	25695.84	31464.681	0	0	0	25340.415	29432.476	40150.511	amino acids and amides
Threonic acid	56560.886	78119.566	80641.414	145857.557	136469.556	132516.298	32283.565	23787.15	34930.763	75961.122	50092.056	54147.703	sugar acids
Threitol	296522.407	284696.952	268569.416	151649.672	142164.654	124615.52	1873662.18	1356248.15	1768794.56	87709.73	52533.82	59649.526	sugar alcohols
Thioctamide 1	11481.249	11758.195	12473.267	0	0	0	16183.524	12410.826	18259.905	0	0	0	others
terephthalic acid	25570.4505	24676.139	26464.762	87651.051	81131.291	68030.853	0	0	0	0	0	0	others
Tartronic acid	172311.768	212157.288	197309.029	573571.014	587253.773	562487.949	201939.277	140391.187	197680.916	605491.071	416893.403	448645.792	others
tartaric acid	88319.466	117040.361	107607.738	81508.055	93200.437	81196.633	24124.619	18665.052	28653.718	38185.456	21529.531	29857.4935	short chain carbon organic acids
Tagatose 2	232954.376	519301.36	498737.446	551716.319	649212.527	470113.4	258606.236	168042.17	256476.54	446650.943	255187.315	271862.235	sugars
sulfuric acid	502983.042	375838.57	443848.676	590003.954	745586.06	535746.19	243271.2	218576.278	198853.195	251088.661	292120.889	287239.742	others
Sucrose-6-Phosphate	0	0	0	16037.322	22964.77	27117.674	0	0	0	0	0	0	others
