#ÕâÀïÈ¥³ýµôºËËáµÄ½µ½â²úÎï														
	B8011	B8012	B8013	LF11	LF12	LF13	meanCSF	meanCRF	log2_FC	Pvalue	fdr	tax		
DL-dihydrosphingosine 1	0.168619864	0.135666519	0.143511215	0	0	0	0.149265866	0.093059245	7.231373518	0.004403917	0.004403917	alcohols	DL-dihydrosphingosine	DL-¶þÇâÇÊ°±´¼
panthenol 1	0.149720311	0.12086139	0.129608945	0.048645651	0.062956951	0.058331508	0.133396882	0.099705329	1.221239712	0.004407243	0.004407243	alcohols	panthenol	·º´¼
alanine 1	0.17391084	0.11929899	0.173012023	0	0	0	0.155407284	0.097437004	7.289163893	0.013231652	0.013231652	amino acids and amides	alanine	±û°±Ëá
O-phosphonothreonine 4	0.004292784	0.004708255	0.00239239	0	0	0	0.00379781	0.002366882	2.262375954	0.033474413	0.033474413	amino acids and amides	O-phosphonothreonine	O-ì¢õ£»ùËÕ°±Ëá
beta-Glutamic acid 1	0.091891331	0.10545906	0.105848768	0.034875022	0.035717335	0.033664631	0.101066386	0.08206095	1.513398671	0.004222669	0.004222669	amino acids and amides	beta-Glutamic acid	¦Â-¹È°±Ëá
O-acetylserine 2	5.257688288	7.127643991	6.848863732	2.7662892	2.691227853	2.483186251	6.41139867	5.580932308	1.276014885	0.021257951	0.021257951	amino acids and amides	O-acetylserine	O-ÒÒõ£Ë¿°±Ëá
glycine 2	1.704353953	2.105762993	2.262650676	0.897890664	0.888464602	0.884957785	2.024255874	1.755434778	1.183898338	0.020780352	0.020780352	amino acids and amides	glycine	¸Ê°±Ëá
D-erythronolactone 1	0.025205959	0.020479167	0.021679857	0.005650446	0.006056225	0.004917972	0.022454994	0.01593649	1.842191235	0.004966183	0.004966183	esters	D-erythronolactone	D-³àÞºÌÇÄÚõ¥
3-ureidopropionate 2	0.054213792	0.039097206	0.051901766	0.020299844	0.023478463	0.023440882	0.048404255	0.037099605	1.077732468	0.026431658	0.026431658	esters	3-ureidopropionate	3-ëå»ù±ûËáõ¥2
fumaric acid	0.072922073	0.083371153	0.088054345	0.011402261	0.015123981	0.012120322	0.08144919	0.060942586	2.570270339	0.002673901	0.002673901	short chain carbon organic acids	fumaric acid	¸»ÂíËá£¨ÑÓºúË÷Ëá£©
citric acid	0.108693447	0.095995964	0.085302798	0	0	0	0.096664069	0.06043292	6.609755989	0.00485582	0.00485582	short chain carbon organic acids	citric acid	ÄûÃÊËá
Pyruvic acid	0.050358894	0.047741675	0.050214827	0	0	0	0.049438465	0.032652167	5.656452477	0.000295064	0.000295064	short chain carbon organic acids	Pyruvic acid	±ûÍªËá
L-Malic acid	0.177639157	0.25893055	0.214486058	0.016510872	0.017681073	0.016239281	0.217018588	0.16330916	3.613658606	0.013476077	0.013476077	short chain carbon organic acids	L-Malic acid	L-Æ»¹ûËá
D-Glyceric acid	0.525427726	0.534755331	0.573493441	0.157114778	0.147331669	0.149385253	0.544558833	0.42178785	1.841034522	0.000952186	0.000952186	short chain carbon organic acids	D-Glyceric acid	D-¸ÊÓÍËá
succinic acid	1.742301486	1.997406063	2.05117745	0.563693627	0.556962249	0.529941744	1.930295	1.537425714	1.808922832	0.004355343	0.004355343	short chain carbon organic acids	succinic acid	çúçêËá
tartaric acid	0.115953093	0.124468819	0.121881171	0.034285793	0.036415987	0.035133422	0.120767694	0.093545261	1.746948661	0.000468756	0.000468756	short chain carbon organic acids	tartaric acid	¾ÆÊ¯Ëá
mucic acid	0.011523703	0.012877303	0.01397607	0.00424281	0.004209107	0.00406755	0.012792359	0.010365394	1.414752672	0.006460768	0.006460768	short chain carbon organic acids	mucic acid	Õ³Ëá
Atrazine-2-hydroxy 3	0.178553283	0.149408382	0.148954355	0	0	0	0.158972007	0.099454246	7.321675661	0.003772209	0.003772209	sugar alcohols	Atrazine-2-hydroxy	Ý¬È¥½ò-2-ôÇ»ù3
Threitol	0.389299117	0.30276644	0.304193317	0.063790374	0.055547661	0.053920581	0.332086291	0.223583377	2.503164704	0.010054478	0.010054478	sugar alcohols	Threitol	ËÕÌÇ´¼
xylitol	0.427890061	0.334924818	0.34007781	0.155376087	0.128493199	0.118966686	0.367630896	0.276792905	1.446242748	0.009475686	0.009475686	sugar alcohols	xylitol	Ä¾ÌÇ´¼
trehalose	0.686820126	0.544882534	0.54526906	0.192377256	0.220313042	0.250644165	0.592323907	0.427509617	1.417535903	0.009252251	0.009252251	sugars	trehalose	º£ÔåÌÇ
ribose	1.109642757	1.026077759	0.989674011	0.436120701	0.401256622	0.363710867	1.041798176	0.817290824	1.377481403	0.000373564	0.000373564	sugars	ribose	ºËÌÇ
xylose 2	0.747254422	0.734126361	0.711196989	0.309734138	0.280667056	0.286201509	0.730859257	0.585019163	1.319676696	7.54E-06	7.54E-06	sugars	xylose	Ä¾ÌÇ
