KEGG	B8011	B8012	B8013	LF11	LF12	LF13
fenzu	B801	B801	B801	LF1	LF1	LF1
C00823	0.002842609	0.001096033	0.001809843	0.011925506	0.008169639	0.009324995
C02814	NA	NA	NA	0.011175156	0.010051398	0.011859693
C00526	NA	NA	NA	0.008936898	0.009105877	0.007536541
C02502	0.034254519	0.033944945	0.035795337	0.009669536	0.011555867	0.011371836
C00322	NA	NA	NA	0.015234787	0.015681559	0.014814753
C01732	NA	NA	NA	0.091453956	0.110321869	0.089708943
C05282	0.018309082	0.017216175	0.020252368	0.020293745	0.015603674	0.011839825
C06356	NA	NA	NA	0.003350981	0.002977118	0.003597102
C03761	NA	NA	NA	NA	NA	NA
C01089	0.103115084	0.09171456	0.110020003	0.092090891	0.089242981	0.081715181
C01013	2.849993426	4.026622883	4.253962418	0.856556057	0.799152674	0.880447046
C02366	0.131448047	0.327797089	0.363435045	0.35113807	0.354402967	0.235843479
C00597	0.026763557	0.02039434	0.024457728	NA	NA	NA
C06474	0.022339143	0.032024248	0.035802162	0.028805888	0.035445459	0.028315456
C00334	0.024989148	0.393377727	0.426156911	0.120848678	0.140616415	0.143346639
C00156	0.040678816	0.030220181	0.038002556	0.022513867	0.023928993	0.02819246
C00989	0.266989375	0.310037523	0.391451816	3.529883237	3.496053037	3.366445995
C00642	NA	NA	NA	NA	NA	NA
C06757	NA	NA	NA	0.074661291	0.058947167	0.057122514
C00847	0.019915295	0.017330388	0.015904784	NA	NA	NA
C01557	0.125903602	0.277115604	0.291874295	0.058698651	0.102034198	0.086687088
C03772	0.037205822	0.128525418	0.140828621	0.083750479	0.119980409	0.136389031
C00345	0.038553997	0.035262564	0.028965964	0.01002333	0.030780912	0.022700458
C07565	NA	NA	NA	0.119735117	0.122416764	0.106120623
C06104	0.14920562	0.090318488	0.08611979	0.071021064	0.032948914	0.030633352
C01401	0.17391084	0.11929899	0.173012023	NA	NA	NA
C06156	NA	NA	NA	0.006338416	0.008067334	0.00712064
C06425	0.04812736	0.042595982	0.038614007	0.040052176	0.040879714	0.04263554
C00062	NA	NA	NA	NA	NA	NA
C00072	NA	NA	NA	0.048825535	0.045755872	0.050447505
C08261	0.605964186	0.602071344	0.606077138	0.766722438	0.812892827	0.706398866
C08281	0.045616986	0.051740868	0.023602508	0.035258862	0.05605984	0.048373006
C15562	NA	NA	NA	0.006684332	0.006552349	0.00603964
C00099	0.022131629	0.075684999	0.081308276	NA	NA	NA
C05574	0.091891331	0.10545906	0.105848768	0.034875022	0.035717335	0.033664631
C01481	0.009288055	0.006532601	0.007925603	0.008165265	0.009990003	0.007503295
C01571	NA	NA	NA	0.006381305	0.00454001	0.005086436
C00438	NA	NA	NA	0.014422216	0.012210512	0.019175675
C06422	0.100799917	0.05596038	0.087731235	0.06099916	0.082119281	0.086621343
C14631	0.023879548	0.02071146	0.019143826	0.013905809	0.021104263	0.025555071
C00815	0.066368264	0.059697114	0.059448542	0.059054755	0.057394763	0.0569802
C00158	0.108693447	0.095995964	0.085302798	NA	NA	NA
C00300	0.125311186	0.103445621	0.10604131	0.282187815	0.305005325	0.264188743
C06578	0.062254778	0.057679027	0.073510913	0.032690233	0.025471087	0.035220778
C00571	1.127270914	1.258366297	1.45343806	1.245709286	1.163752854	1.033080323
C00055	0.135315525	0.1184904	0.107279715	0.028300444	0.030346941	0.038101661
C00993	NA	NA	NA	0.051434546	0.050013484	0.044811324
C00258	0.525427726	0.534755331	0.573493441	0.157114778	0.147331669	0.149385253
C12078	NA	NA	NA	0.046081684	0.05171092	0.056307102
C05422	0.073980467	0.062155509	0.055597501	NA	NA	NA
C02273	NA	NA	NA	0.029886379	0.023066386	0.021702012
C00184	NA	NA	NA	0.927794099	0.947861909	0.919412146
C03690	0.311191905	0.14856323	0.13971199	0.306293576	0.292233799	0.315633957
C02277	NA	NA	NA	NA	NA	NA
C00712	0.007151746	0.005900515	0.006055516	0.011964456	0.012739279	0.010849082
C00189	1.822326015	1.606783394	1.85044764	0.968126213	0.957735596	0.971996052
C00085	NA	NA	NA	0.0047981	0.004588817	0.004789456
C10906	12.59580459	10.70757073	9.916269733	7.268379573	7.45355177	5.881216714
C00665	NA	NA	NA	0.006853227	0.014126337	0.012719298
C00122	0.072922073	0.083371153	0.088054345	0.011402261	0.015123981	0.012120322
C01236	NA	NA	NA	0.080029511	0.038176882	0.072517395
C00880	0.007539066	0.015029171	0.018890321	0.045769386	0.039570947	0.044960803
C00124	0.021158277	0.017072913	0.018113303	0.026373746	0.022988278	0.035101373
C00103	0.3176445	0.452469867	0.249388183	0.254036542	0.416880039	0.332245508
C03251	0.082178942	0.454672658	0.453865789	0.26607837	0.352952896	0.366209367
C01662	3.233135828	2.731231097	2.875448306	2.158415703	2.038173563	2.01220275
C00489	0.047311765	0.038872453	0.040232179	0.021771793	0.021298456	0.021263719
C00116	5.388752993	5.210358113	4.948081146	6.432478829	5.69398911	6.076200237
C00037	1.704353953	2.105762993	2.262650676	0.897890664	0.888464602	0.884957785
C00581	0.048574768	0.053344312	0.054330546	0.025763134	0.027344448	0.024583976
C00160	2.68090873	3.13985057	3.037206483	1.46429247	1.65844301	1.646756224
C05582	0.095760438	0.272633887	0.281643233	0.045474729	0.048490987	0.044420819
C00530	0.012930019	0.015660294	0.015308623	NA	NA	NA
C00192	0.302408275	0.347358252	0.360803332	NA	NA	NA
C07044	NA	NA	NA	0.013107946	0.014183866	0.012013466
C02693	NA	NA	NA	0.013375299	0.014332282	0.012626248
C00407	NA	NA	NA	0.025510642	0.023158078	0.024200473
C03975	NA	NA	NA	0.017415977	0.019697774	0.017563615
C00490	0.06913726	0.033858635	0.047853361	0.015089586	0.012839784	0.012103616
C00149	0.177639157	0.25893055	0.214486058	0.016510872	0.017681073	0.016239281
C00186	11.05381957	10.97716236	11.23715746	31.05504003	30.89191767	32.57825216
C02679	0.084635422	0.061974376	0.061441329	0.074214783	0.079271195	0.070394193
C04025	0.18844877	0.141461513	0.12845189	0.114305336	0.099812911	0.092825466
C00392	0.211190142	0.163482699	0.166062203	0.118676851	0.187085198	0.122378245
C05402	0.09072719	0.169176392	0.166160105	0.084250519	0.077722838	0.080270385
C03764	NA	NA	NA	NA	NA	NA
C02170	NA	NA	NA	NA	NA	NA
D01947	0.510002525	0.508741783	0.530860685	0.364677447	0.467097321	0.40258435
C00879	0.011523703	0.012877303	0.01397607	0.00424281	0.004209107	0.00406755
C00137	0.134512557	0.104239403	0.097935024	0.141093411	0.130220106	0.139492182
C06424	0.156641824	0.114890481	0.12673936	0.115810142	0.124566956	0.113148415
C01073	NA	NA	NA	0.040398949	0.040440029	0.040963801
C03519	0.059391657	0.059576744	0.061075635	0.069208402	0.072103895	0.064493346
C02727	NA	NA	NA	0.013467874	0.01470651	0.015069947
C03626	0.105260483	0.121876961	0.121125289	0.064349395	0.074705617	0.068397377
C09806	0.47317119	0.403774661	0.392723606	0.280577395	0.383027323	0.358561904
C00253	NA	NA	NA	0.088948617	0.075831394	0.080782308
C00547	NA	NA	NA	NA	NA	NA
C00979	5.257688288	7.127643991	6.848863732	2.7662892	2.691227853	2.483186251
D01924	NA	NA	NA	0.004377681	0.003628619	0.003533622
C00077	0.043509985	0.948597944	1.046518117	0.200760485	0.322541655	0.292677239
C01444	NA	NA	NA	0.111395991	0.155540811	0.205827467
C00249	7.236214474	4.256353053	4.370676609	3.100167789	3.560774497	3.201376858
C08362	0.017729234	0.083595565	0.107358518	0.033711666	0.053187338	0.056267906
D03726	0.149720311	0.12086139	0.129608945	0.048645651	0.062956951	0.058331508
C01601	0.083487064	0.088643548	0.087840217	0.065116771	0.052383386	0.062496202
C16537	0.096341817	0.166099751	0.130009656	0.111173263	0.123127678	0.116492299
C00601	NA	NA	NA	0.112317964	0.089159615	0.07207619
C05332	NA	NA	NA	NA	NA	NA
C10164	0.029798387	0.04621026	0.037981755	NA	NA	NA
C02656	0.000677298	0.001324001	0.002262184	0.004205253	0.004342422	0.004567292
C02896	0.093040865	0.059374538	0.058220786	NA	NA	NA
C00314	0.001399161	0.014105363	0.008114966	0.010160755	0.010837885	0.008901799
C00013	0.017986222	0.017652785	0.012232936	0.005568522	0.006295352	0.006349804
C00022	0.050358894	0.047741675	0.050214827	NA	NA	NA
C06746	0.047912901	0.046349413	0.049220928	0.018673411	0.017185676	0.015756039
C00121	1.109642757	1.026077759	0.989674011	0.436120701	0.401256622	0.363710867
C01451	0.058456369	0.048503814	0.049203568	0.026333162	0.025578581	0.027706822
C00805	0.24189773	0.203638144	0.214299811	0.010872746	0.012358131	0.011440408
C00493	NA	NA	NA	0.415803168	0.312552959	0.264531263
C00794	0.003174368	0.065555806	0.083943176	0.041670671	0.054931592	0.048782698
C00315	6.22680821	7.141652199	6.711751193	4.755107297	5.184902559	4.887773182
C01530	4.689375638	2.798062459	3.04430059	1.93151668	2.029437972	1.948619346
C00042	1.742301486	1.997406063	2.05117745	0.563693627	0.556962249	0.529941744
C00089	1.240552251	1.037052937	1.244987622	1.782735871	1.723993539	1.941960252
C16688	NA	NA	NA	0.006745987	0.008972971	0.011733697
C00059	0.660357698	0.399692743	0.502722176	0.248181037	0.291321086	0.231814992
C00898	0.115953093	0.124468819	0.121881171	0.034285793	0.036415987	0.035133422
C02287	0.226225127	0.225622741	0.223480726	0.241268636	0.229456284	0.243386032
C06337	0.033571	0.026242314	0.029975132	0.036869802	0.031700238	0.029436647
C00248	0.015073532	0.012504478	0.014127761	NA	NA	NA
C16884	0.389299117	0.30276644	0.304193317	0.063790374	0.055547661	0.053920581
C01620	0.074257805	0.083077752	0.091337948	0.061353961	0.053322428	0.057339212
C00364	NA	NA	NA	0.054219926	0.054027637	0.06125444
C09908	NA	NA	NA	NA	NA	NA
C01083	0.686820126	0.544882534	0.54526906	0.192377256	0.220313042	0.250644165
C00106	NA	NA	NA	0.006765337	0.020562117	0.021508601
C00086	NA	NA	NA	NA	NA	NA
C00299	0.026973166	0.021205647	0.023955314	0.014668942	0.01359816	0.015119759
C00785	NA	NA	NA	0.034239474	0.033650366	0.033176313
C00183	NA	NA	NA	0.034080904	0.030475306	0.03636618
C01762	NA	NA	NA	NA	NA	NA
C00379	0.427890061	0.334924818	0.34007781	0.155376087	0.128493199	0.118966686
