Row.names	B8011	B8012	B8013	LF11	LF12	LF13	B801	LF1	MeanDecreaseAccuracy	MeanDecreaseGini
1	(2R)-2-amino-3-phosphonopropanoic acid 1	0	0	0	0	0	0	0	0	0	0
2	(2R,3S)-2-hydroxy-3-isopropylbutanedioic acid	0	0	0	0.000332779894554403	0.000340003667667648	0.000338679996335722	0	0	0	0.01
3	1-Hexadecanol	2.84260882915532e-05	1.09603262611346e-05	1.80984260834525e-05	0.000119255064391061	8.16963915813593e-05	9.32499450786766e-05	1	1	1	0.01
4	1-Monopalmitin	0.0113723668032866	0.00837453612529953	0.00887046869604392	0.00708598307378653	0.00900353748360863	0.00692528191377726	0	0	0	0
5	1,2,4-Benzenetriol	0	0	0	0.000111751560827902	0.000100513983458242	0.000118596930120438	1	1	1	0.01
6	2-amino-3-(4-hydroxyphenyl)propanoic acid 1	0.000525774615975477	0.000440094831271741	0.00043846595081297	0	0	0	1.42	1.34	1.39	0.01
7	2-Deoxy-D-galactose 2	0	0	0	0.000149103740703546	0.000124410569758863	0.000145574710069196	1	1	1	0.01
8	2-deoxy-D-glucose 2	3.19085619788768e-06	0.000162682148257105	0.000182099008251989	8.10166927581767e-05	7.14516690111655e-05	5.98686863984968e-05	0	0	0	0.01
9	2-Deoxyerythritol	0.0428574484074116	0.0464164340292672	0.0489704254570032	0.0386330522165445	0.0358563251921383	0.0338215017804946	1.34	1.42	1.39	0.02
10	2-Deoxytetronic acid	0.000148238942978557	0.000188422877855247	0.000227459713940054	8.32533946425638e-05	8.77318403936137e-05	9.91863376193054e-05	0	0	0	0.01
11	2-Deoxyuridine	0	0	0	8.9368984502434e-05	9.10587690755321e-05	7.53654135270031e-05	1	1	1	0.02
12	2-hydroxypyridine	0.000342545191256253	0.000339449446227526	0.000357953369555594	9.66953616051846e-05	0.000115558666211519	0.000113718359204839	0	0	0	0.01
13	2-Indanone	0.00347957607002518	0.00302451345341928	0.00278251833304049	0.00099554254648192	0.00160195595986168	0.000969916292097391	1.34	1.42	1.39	0.02
14	2-ketoadipate 3	0	0	0	0.000152347874175733	0.000156815586562901	0.000148147530781986	1	1	1	0.01
15	2-Ketovaleric acid 2	0.000337273206031019	0.000278732384482732	0.000285078427787592	0	0	0	0	0	0	0
16	2-methylfumarate	0	0	0	0.000914539558272897	0.00110321869395106	0.000897089434122685	1	1	1	0.01
17	2-Methylglutaric Acid	0.000183090817135723	0.000172161753178687	0.000202523679550779	0.000202937447597413	0.000156036737425582	0.000118398253632347	0	0	0	0
18	2-Monopalmitin	0.003225877276358	0.00217057538980787	0.00193552093342017	0.00281452511196039	0.00264998974641123	0.00265934655606196	1	1	1	0
19	2,2-Dimethylsuccinic Acid	0	0	0	5.77379133719133e-05	5.05047443144886e-05	5.24666198991698e-05	1	1	1	0.01
20	2,3-Dihydroxypyridine	0.000480701779880925	0.000364246665952109	0.000441477705659959	0.00109702914550519	0.00101239780377329	0.00113630227775502	1.42	1.42	1.42	0.01
21	2,3-Dimethylsuccinic acid	0.00157757855372077	0.00274384685242637	0.00273354763303078	0.000839379326663272	0.000959687030709503	0.00104136208107402	0	0	0	0
22	2,4-diaminobutyric acid 3	0	0	0	9.67892196792336e-05	0.000141998944185283	0.000169364808930617	1.42	1.42	1.42	0.01
23	2,4,6-Trihydroxybenzophenone	0	0	0	3.35098142292038e-05	2.97711842631116e-05	3.59710237506519e-05	1.42	1.42	1.42	0.02
24	3-(4-hydroxyphenyl)propionic acid	0.00194060017140727	0.00224447521574635	0.00229866852531286	0.000507189085269005	0.000523662075453665	0.000457581743162321	1.67	1.64	1.73	0.01
25	3-Aminoisobutyric acid 1	0.000141317005638818	0.000835455511298036	0.000997176631554164	0.000115596618589584	0.000136534383628382	0.000144194748771719	0	0	0	0
