	shannon	chao1	ace	observed_otus	PD_whole_tree
B80-2.fastq	7.80554365482	3640.95381062	3631.73858424	2901.0	180.79886
B80-5.fastq	7.4743316312	3463.44618834	3511.89714489	2727.0	176.38439
LF-5.fastq	6.28400159858	3511.90909091	3593.00176175	2850.0	180.94594
B80-4.fastq	7.72385099726	3591.60493827	3631.13711352	2984.0	187.23072
LF-6.fastq	7.65935294859	3687.78512397	3699.05127263	3052.0	191.99134
B80-3.fastq	7.13203481643	3351.65795724	3384.9253457	2617.0	169.51382
LF-2.fastq	6.86329533182	3282.24719101	3369.55156258	2573.0	167.61531
LF-1.fastq	6.7592623185	3589.25	3642.77013522	2849.0	182.08727
B80-1.fastq	7.43513865145	3296.89330544	3407.45868005	2703.0	171.26894
LF-4.fastq	6.94803033374	3780.04142012	3822.75478393	3108.0	193.38161
LF-3.fastq	7.48832128908	3789.43594646	3818.98133226	3213.0	195.66254
B80-6.fastq	6.94214313479	3324.4059633	3421.70387551	2558.0	165.80116
