B80-2.fastq	B80-5.fastq	LF-5.fastq	B80-4.fastq	LF-6.fastq	B80-3.fastq	LF-2.fastq	LF-1.fastq	B80-1.fastq	LF-4.fastq	LF-3.fastq	B80-6.fastq
B80-2.fastq	0.0	0.186171350532	0.236066714581	0.203271425987	0.21460911879	0.201226428369	0.223171557895	0.231127113828	0.195191321246	0.228630002945	0.230768646852	0.200765902214
B80-5.fastq	0.186171350532	0.0	0.248308337271	0.219392555927	0.229078112114	0.219070586919	0.214740890612	0.255296874468	0.21737530904	0.25148949317	0.257698937611	0.190910625321
LF-5.fastq	0.236066714581	0.248308337271	0.0	0.21295714888	0.187973517758	0.25762134462	0.236856117998	0.227779896019	0.268579636351	0.188592489857	0.203181402134	0.240403319913
B80-4.fastq	0.203271425987	0.219392555927	0.21295714888	0.0	0.193858385378	0.213324209901	0.222285081702	0.223975223241	0.224140518054	0.205175797031	0.214254804265	0.209579338073
LF-6.fastq	0.21460911879	0.229078112114	0.187973517758	0.193858385378	0.0	0.230131441687	0.205071725595	0.206897514028	0.23651990429	0.180051213672	0.187788280625	0.213188023602
B80-3.fastq	0.201226428369	0.219070586919	0.25762134462	0.213324209901	0.230131441687	0.0	0.226417762107	0.24562371277	0.202839418364	0.253248645823	0.266057394271	0.209522126716
LF-2.fastq	0.223171557895	0.214740890612	0.236856117998	0.222285081702	0.205071725595	0.226417762107	0.0	0.244729856614	0.234311083124	0.232842842696	0.254073716604	0.201176183966
LF-1.fastq	0.231127113828	0.255296874468	0.227779896019	0.223975223241	0.206897514028	0.24562371277	0.244729856614	0.0	0.241201302592	0.222560050873	0.217297976561	0.240238124394
B80-1.fastq	0.195191321246	0.21737530904	0.268579636351	0.224140518054	0.23651990429	0.202839418364	0.234311083124	0.241201302592	0.0	0.257586449342	0.260214192446	0.219531616386
LF-4.fastq	0.228630002945	0.25148949317	0.188592489857	0.205175797031	0.180051213672	0.253248645823	0.232842842696	0.222560050873	0.257586449342	0.0	0.178276492619	0.240696970719
LF-3.fastq	0.230768646852	0.257698937611	0.203181402134	0.214254804265	0.187788280625	0.266057394271	0.254073716604	0.217297976561	0.260214192446	0.178276492619	0.0	0.261570452851
B80-6.fastq	0.200765902214	0.190910625321	0.240403319913	0.209579338073	0.213188023602	0.209522126716	0.201176183966	0.240238124394	0.219531616386	0.240696970719	0.261570452851	0.0
