B80-2.fastq	B80-5.fastq	LF-5.fastq	B80-4.fastq	LF-6.fastq	B80-3.fastq	LF-2.fastq	LF-1.fastq	B80-1.fastq	LF-4.fastq	LF-3.fastq	B80-6.fastq
B80-2.fastq	0.0	0.277968924372	0.328101819942	0.289821792183	0.300423288862	0.309764705452	0.317217148755	0.325377374141	0.295263506328	0.294782290273	0.31820597227	0.295207712209
B80-5.fastq	0.277968924372	0.0	0.336542577856	0.318003627703	0.32772179008	0.32604661624	0.31101816053	0.33673599107	0.305296115566	0.332066557152	0.347909306393	0.289919794295
LF-5.fastq	0.328101819942	0.336542577856	0.0	0.311083798181	0.285744387752	0.345993653546	0.330783177154	0.324621714846	0.354496287035	0.278497500925	0.305496160807	0.322242489625
B80-4.fastq	0.289821792183	0.318003627703	0.311083798181	0.0	0.273987127032	0.315835856568	0.305490158136	0.308931467278	0.310011463226	0.264875502065	0.287803680752	0.299965466726
LF-6.fastq	0.300423288862	0.32772179008	0.285744387752	0.273987127032	0.0	0.318227304452	0.285938580472	0.278331037005	0.322697107847	0.247867080931	0.262517630128	0.286090964279
B80-3.fastq	0.309764705452	0.32604661624	0.345993653546	0.315835856568	0.318227304452	0.0	0.323723674289	0.350153228613	0.305779244747	0.334075500419	0.363017730598	0.311627241635
LF-2.fastq	0.317217148755	0.31101816053	0.330783177154	0.305490158136	0.285938580472	0.323723674289	0.0	0.330349323059	0.32552145857	0.305378048498	0.345157718016	0.285971698845
LF-1.fastq	0.325377374141	0.33673599107	0.324621714846	0.308931467278	0.278331037005	0.350153228613	0.330349323059	0.0	0.32088494207	0.307683886101	0.294334760102	0.32246366031
B80-1.fastq	0.295263506328	0.305296115566	0.354496287035	0.310011463226	0.322697107847	0.305779244747	0.32552145857	0.32088494207	0.0	0.328284331458	0.342873979415	0.313139654087
LF-4.fastq	0.294782290273	0.332066557152	0.278497500925	0.264875502065	0.247867080931	0.334075500419	0.305378048498	0.307683886101	0.328284331458	0.0	0.25457433039	0.29852659058
LF-3.fastq	0.31820597227	0.347909306393	0.305496160807	0.287803680752	0.262517630128	0.363017730598	0.345157718016	0.294334760102	0.342873979415	0.25457433039	0.0	0.339046653299
B80-6.fastq	0.295207712209	0.289919794295	0.322242489625	0.299965466726	0.286090964279	0.311627241635	0.285971698845	0.32246366031	0.313139654087	0.29852659058	0.339046653299	0.0
