meanCSF	meanCRF	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	level	family	phylum	class	order	genus	species
family1	0.124324819533131	0.337752408067152	19315.0061107939	-1.53578148910908	0.317275639766507	-4.84052759373304	1.29494873076017e-06	7.68336246917701e-05	depleted		Cyanobacteria	Chloroplast	Streptophyta		
family10	6.87843061727036e-06	3.48216610919164e-06	0.415850341324215	0.748123016114756	2.08994935669638	0.357962270098892	0.720371549225213	NA	nosig	[Leptospirillaceae]	Nitrospirae	Nitrospira	Nitrospirales	Leptospirillum	
family100	4.23286610805259e-05	4.68693705671819e-05	3.50557088093159	-0.136195929774782	0.656913055983628	-0.207327177522524	0.835754350638667	0.917513473482891	nosig	Desulfobulbaceae	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbus	
family101	1.07270928073827e-05	8.78608515166434e-06	0.856288794913869	0.176654718572747	1.27167530452588	0.138914955684077	0.889517352629411	NA	nosig	Desulfomicrobiaceae	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobium	
family102	0.000242847889116505	0.00032320368316534	22.802511174781	-0.428023488094223	0.297014300281784	-1.44108713852548	0.149560066597302	0.451215116174912	nosig	Desulfovibrionaceae	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrio	
family103	2.51625500734746e-06	0	0.0869387440612218	0.721382087222733	3.11653965008542	0.231468926507308	0.816950523048525	NA	nosig	Desulfurococcaceae	Crenarchaeota	Thermoprotei	Desulfurococcales		
family104	2.51625500734746e-06	1.16482106497364e-05	0.528635849549611	-1.68331630759645	1.65588110794391	-1.0165683390679	0.309358822166998	NA	NA	Desulfuromonadaceae	Proteobacteria	Deltaproteobacteria	Desulfuromonadales		
family105	9.32481394549654e-05	0.000116587406613352	8.62569738538797	-0.359604532677896	0.378219189442048	-0.95078341532165	0.341714333235824	0.643111966131238	nosig	Dethiosulfovibrionaceae	Synergistetes	Synergistia	Synergistales	PD-UASB-13	
family106	0.000123595096803951	0.000100231369123891	9.10835776724259	0.286001516218236	0.364720888577574	0.784165440410207	0.432943040841356	0.716978314229832	nosig	Dictyoglomaceae	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomus	
family107	5.42518021842078e-05	4.40917486298533e-05	3.80134737540453	0.297341114565808	0.566152555007119	0.525196101185251	0.59944687497526	0.786100009942464	nosig	Dolo_23	Chloroflexi	TK10	AKYG885		
family108	0.000128837134166658	0.000194494737818204	12.973016780057	-0.559208879915989	0.404992737468044	-1.38078742698469	0.167344330463792	0.465426419102422	nosig	EB1017	Actinobacteria	Acidimicrobiia	Acidimicrobiales		
family109	0.000388409326560586	0.000515082523044795	36.8835931050682	-0.482604203155247	0.298361240307466	-1.61751641284879	0.105766855749825	0.42228700238011	nosig	Ellin515	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]		
family11	7.52617610283106e-06	3.1195201997848e-05	1.4571963580673	-2.19777734559333	1.14039386962799	-1.92720901446995	0.0539535870076199	NA	NA	[Marinicellaceae]	Proteobacteria	Gammaproteobacteria	[Marinicellales]		
family110	0.00277896848827679	0.00174953040055474	185.576680072383	0.652296388334921	0.301408199685542	2.16416271692495	0.0304518635460006	0.209823267822059	nosig	Ellin517	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]		
family111	0.000130705848055424	0.000110714734702719	9.84290997034053	0.269453812797467	0.413452149159648	0.651717044753883	0.514583724865019	0.742167567757275	nosig	Ellin5301	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales		
family112	0.0110979041410115	0.00840924255962077	788.868895910638	0.436544890991524	0.350171965222839	1.24665859733722	0.212522705978321	0.532803403720298	nosig	Ellin6075	Acidobacteria	[Chloracidobacteria]	RB41		
family113	0.000416998043022053	0.00021453417076723	26.118697828837	1.03007544546027	0.569506210305139	1.80871679153131	0.0704950129447905	0.329514385858037	nosig	Enterobacteriaceae	Proteobacteria	Gammaproteobacteria	Enterobacteriales		
family114	6.96798782436433e-06	1.73054093248468e-06	0.360305979306291	1.20190756844627	1.82120271049948	0.659952657393438	0.509284210874955	NA	NA	Enterococcaceae	Firmicutes	Bacilli	Lactobacillales		
family115	2.49366608813613e-06	3.42808937504656e-06	0.217591510343425	-0.240398073042935	2.30608308440066	-0.104245191627783	0.916974771576185	NA	nosig	Erysipelotrichaceae	Firmicutes	Erysipelotrichi	Erysipelotrichales	Bulleidia	p-1630-c5
family116	0.00486724972658262	0.00349251797862066	345.226060540663	0.432377425779108	0.20675274857692	2.09127776416596	0.0365031718877859	0.219811096969451	nosig	Erythrobacteraceae	Proteobacteria	Alphaproteobacteria	Sphingomonadales		
family117	1.734069966255e-06	0	0.0946443286829393	0.721382087222733	3.11653965008542	0.231468926507308	0.816950523048525	NA	nosig	EtOH8	Firmicutes	Clostridia	Clostridiales		
family118	1.35227715144051e-05	1.77943655650135e-05	1.31924937785433	-0.536433891711814	0.980585345048733	-0.547054771336761	0.58434110383221	NA	nosig	Eubacteriaceae	Firmicutes	Clostridia	Clostridiales		
family119	7.19143262595501e-06	5.53444423715087e-06	0.477082031718452	0.27306255837782	1.62569416108492	0.167966746091768	0.866609440130874	NA	nosig	Euzebyaceae	Actinobacteria	Nitriliruptoria	Euzebyales	Euzebya	
family12	3.68302919075052e-05	5.1868590148891e-05	3.37270265915468	-0.507256789659422	0.602885420813199	-0.841381748749557	0.400134106775355	0.679150630516213	nosig	[Methanomassiliicoccaceae]	Euryarchaeota	Thermoplasmata	E2	Methanomassiliicoccus	
family120	0	1.73054093248468e-06	0.0953971275097565	-0.240402929370164	3.11653965008542	-0.0771377734159661	0.938513943666184	NA	nosig	Flammeovirgaceae	Bacteroidetes	Cytophagia	Cytophagales		
family121	0.00497771144102502	0.00512824113879333	454.520659231526	0.161711834241619	0.837108060616771	0.193179162702688	0.846818657115374	0.917513473482891	nosig	Flavobacteriaceae	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacterium	
family122	3.84475635224087e-05	3.48502641919664e-05	2.81937806218817	0.151809533645632	0.681272150343691	0.222832437182478	0.823665921433326	0.917513473482891	nosig	Frankiaceae	Actinobacteria	Actinobacteria	Actinomycetales		
family123	4.60246314594248e-06	1.553176089786e-06	0.251085531354372	0.721392909619372	2.22121280974593	0.324774333397567	0.745351871390803	NA	nosig	Fusobacteriaceae	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacterium	
family124	1.0676967253929e-05	3.75402693405238e-05	1.9849398340867	-1.79440850846455	0.894165579565623	-2.0067966710777	0.0447713174800209	0.249040453482616	nosig	FW	Nitrospirae	Nitrospira	Nitrospirales	4-29	
family125	0.00273116041252733	0.00333681583062187	237.769456139052	-0.301271002902988	0.270358793222571	-1.11433772621913	0.265134328053716	0.589923879919518	nosig	Gaiellaceae	Actinobacteria	Thermoleophilia	Gaiellales		
family126	0	8.33181353247725e-06	0.367033239007597	-1.91127983986437	2.42587084529185	-0.787873700520286	0.430770585895843	NA	NA	Gallionellaceae	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionella	
family127	0.00188299665498419	0.00149676318760539	133.266387074569	0.346564086451393	0.217187540561189	1.59569045975616	0.110557919674302	0.42228700238011	nosig	Gemmataceae	Planctomycetes	Planctomycetia	Gemmatales	Gemmata	
family128	0.000108949842836286	0.000122555125441423	9.94950423171221	-0.213890660716117	0.483704854581293	-0.442192503735085	0.658349910137492	0.838139394955278	nosig	Gemmatimonadaceae	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonas	
family129	0.000310332771238189	0.000343636201805804	25.983587549174	-0.0874547265285289	0.27817747127386	-0.314384648505312	0.753228914237206	0.917513473482891	nosig	Geobacteraceae	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacter	
family13	1.91602225056699e-05	1.74344617030693e-05	1.5723410487811	0.153235574638066	1.18082845216575	0.129769548114307	0.896748756232802	NA	nosig	[Mogibacteriaceae]	Firmicutes	Clostridia	Clostridiales		
family130	0.00043820937306102	0.000522297000296925	37.8105716684357	-0.256299607962356	0.286620179896874	-0.894213408332145	0.371207719551871	0.662451492081727	nosig	Geodermatophilaceae	Actinobacteria	Actinobacteria	Actinomycetales		
family131	0.000124037310403442	8.49414150552864e-05	8.31798145498083	0.531016349098724	0.557175775004725	0.953049958236645	0.340564758977498	0.643111966131238	nosig	Glycomycetaceae	Actinobacteria	Actinobacteria	Actinomycetales	Glycomyces	
family132	0.000103794827135616	2.88439322427869e-05	5.38106785164325	1.77962790288137	0.725061795149415	2.45444997210843	0.0141100296324281	0.12557926372861	nosig	Gordoniaceae	Actinobacteria	Actinobacteria	Actinomycetales	Gordonia	
family133	2.73686379950048e-05	3.69431198008569e-05	2.43159452307229	-0.424634590111448	0.70983401746431	-0.598216737524556	0.549695324754591	0.764420060986853	nosig	Gracilibacteraceae	Firmicutes	Clostridia	Clostridiales		
family134	0	5.48036750300579e-06	0.206581406198135	-1.09802767299933	2.78119002153487	-0.39480498078062	0.692986818793263	NA	NA	Halanaerobiaceae	Firmicutes	Clostridia	Halanaerobiales		
family135	0.00207478319646359	0.00096657290628396	123.574057284511	0.95889295304074	0.331589390217184	2.89180830669125	0.00383031572745892	0.0486997285348349	nosig	Haliangiaceae	Proteobacteria	Deltaproteobacteria	Myxococcales		
family136	1.734069966255e-06	2.02020202020202e-06	0.194467528841566	0.240493099129909	2.81001596911955	0.0855842464145363	0.931796922045609	NA	nosig	Halomonadaceae	Proteobacteria	Gammaproteobacteria	Oceanospirillales		
