# /usr/local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': 'OTU-KO_nometadata_nsti.txt', 'output_pref': 'fishtaco_out_no_inf', 'map_function_level': 'pathway', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table1285_norm.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': False, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'metagenome_predictions_MUSiCC_Normalized.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'break_mapping1.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
ko00010	33.0732286823	28.9420355779	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00010
ko00020	26.0379255679	20.1146805172	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00020
ko00030	22.7856460123	19.4946146255	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00030
ko00040	14.683736183	10.1197677192	2.40192230708	0.0163091718778	1.78756809034	0.0	0.0	1.0	1.0	ko00040
ko00052	12.1570505284	9.45403754733	2.24179415327	0.0249746792931	1.60250007996	0.0	0.0	1.0	1.0	ko00052
ko00053	7.06714931913	4.5871851765	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00053
ko00061	18.0477622973	14.6400812094	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00061
ko00071	31.0405422305	21.0388931035	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00071
ko00072	8.05941815178	4.25262984637	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00072
ko00120	0.593269305066	0.315522154162	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00120
ko00190	49.5602749428	45.1776377095	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00190
ko00230	61.6717765866	53.7891885981	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00230
ko00240	41.8450924637	37.3439029892	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00240
ko00250	28.1708589346	23.2953535541	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00250
ko00253	4.94911842997	4.1842836973	2.56205046088	0.0104056198689	1.9827320435	0.0	0.0	1.0	1.0	ko00253
ko00260	32.1244891565	25.086085702	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00260
ko00270	25.1181071333	20.2602595556	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00270
ko00280	38.0567832212	24.0092043575	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00280
ko00281	15.0551662865	8.73442218819	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00281
ko00290	17.0458221721	14.302830142	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00290
ko00300	16.3884528576	13.8778603508	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00300
ko00310	19.9636927441	12.4410344132	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00310
ko00311	2.6812126823	1.73374985341	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00311
ko00312	1.83946933192	1.29363779986	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00312
ko00330	41.2569458665	34.6011334751	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00330
ko00340	18.2591157673	13.9961803571	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00340
ko00350	16.1837334473	12.4127846805	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00350
ko00351	0.112211306467	0.0629502450734	2.40192230708	0.0163091718778	1.78756809034	0.0	0.0	1.0	1.0	ko00351
ko00360	26.2626425791	16.252564175	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00360
ko00361	6.63677472442	4.50821701276	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00361
ko00362	26.7079092017	15.7246271373	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00362
ko00363	3.57728154842	2.27040564466	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00363
ko00364	3.05771794797	2.42074212698	2.08166599947	0.0373729883407	1.42744217462	0.0	0.0	1.0	1.0	ko00364
ko00380	24.0991797493	14.644464696	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00380
ko00400	22.3198657834	18.4426568307	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00400
ko00401	4.18180606055	3.21795185572	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00401
ko00410	20.2766657604	13.3564624625	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00410
ko00430	4.87325514843	3.82655966567	2.40192230708	0.0163091718778	1.78756809034	0.0	0.0	1.0	1.0	ko00430
ko00440	4.15658095224	2.14579699695	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00440
ko00450	11.7097600973	9.48741766042	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00450
ko00460	7.29516480024	5.72676964912	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00460
ko00471	3.58061823738	3.42726144082	2.40192230708	0.0163091718778	1.78756809034	0.0	0.0	1.0	1.0	ko00471
ko00472	0.427595805577	0.173067491436	2.88230676849	0.0039477518569	2.40365015351	0.0	0.0	1.0	1.0	ko00472
ko00473	2.52598245826	1.90099983405	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00473
ko00480	21.3720250906	16.2017271226	2.72217861469	0.00648530797067	2.18806939556	0.0	0.0	1.0	1.0	ko00480
ko00520	31.1782593162	27.6461464583	2.08166599947	0.0373729883407	1.42744217462	0.0	0.0	1.0	1.0	ko00520
ko00521	9.00775167789	8.5253282984	2.08166599947	0.0373729883407	1.42744217462	0.0	0.0	1.0	1.0	ko00521
