KO	wilcoxon
ko00010	2.88230676849
ko00020	2.88230676849
ko00030	2.72217861469
ko00040	2.40192230708
ko00052	2.24179415327
ko00053	2.72217861469
ko00061	2.72217861469
ko00071	2.72217861469
ko00072	2.72217861469
ko00120	2.72217861469
ko00190	2.88230676849
ko00230	2.72217861469
ko00240	2.88230676849
ko00250	2.72217861469
ko00253	2.56205046088
ko00260	2.72217861469
ko00270	2.72217861469
ko00280	2.72217861469
ko00281	2.72217861469
ko00290	2.72217861469
ko00300	2.72217861469
ko00310	2.72217861469
ko00311	2.72217861469
ko00312	2.72217861469
ko00330	2.72217861469
ko00340	2.72217861469
ko00350	2.72217861469
ko00351	2.40192230708
ko00360	2.88230676849
ko00361	2.72217861469
ko00362	2.88230676849
ko00363	2.72217861469
ko00364	2.08166599947
ko00380	2.72217861469
ko00400	2.72217861469
ko00401	2.88230676849
ko00410	2.72217861469
ko00430	2.40192230708
ko00440	2.88230676849
ko00450	2.72217861469
ko00460	2.72217861469
ko00471	2.40192230708
ko00472	2.88230676849
ko00473	2.72217861469
ko00480	2.72217861469
ko00520	2.08166599947
ko00521	2.08166599947
ko00531	2.08166599947
ko00540	2.72217861469
ko00550	2.56205046088
ko00561	2.72217861469
ko00562	2.72217861469
ko00564	2.72217861469
ko00591	2.72217861469
ko00592	2.72217861469
ko00620	2.72217861469
ko00621	2.72217861469
ko00622	2.72217861469
ko00623	2.72217861469
ko00624	2.88230676849
ko00625	2.72217861469
ko00626	2.56205046088
ko00627	2.88230676849
ko00630	2.88230676849
ko00633	2.88230676849
ko00640	2.72217861469
ko00642	2.72217861469
ko00643	2.88230676849
ko00650	2.72217861469
ko00660	2.72217861469
ko00670	2.72217861469
ko00680	2.88230676849
ko00720	2.88230676849
ko00740	2.56205046088
ko00750	2.56205046088
ko00760	2.72217861469
ko00770	2.72217861469
ko00780	2.72217861469
ko00790	2.72217861469
ko00900	2.72217861469
ko00903	2.72217861469
ko00910	2.88230676849
ko00920	2.08166599947
ko00930	2.72217861469
ko00944	2.56205046088
ko00960	2.72217861469
ko00980	2.40192230708
ko00982	2.72217861469
ko00983	2.40192230708
ko01040	2.72217861469
ko02010	2.88230676849
ko02020	2.72217861469
ko02030	2.72217861469
ko02040	2.72217861469
ko02060	2.72217861469
ko03030	2.72217861469
ko03060	2.40192230708
ko03070	2.88230676849
ko03410	2.72217861469
ko03420	2.88230676849
ko03430	2.72217861469
ko03440	2.72217861469
ko03450	2.72217861469
ko04070	2.72217861469
ko04112	2.56205046088
ko04146	2.88230676849
ko04614	2.72217861469
ko04964	2.24179415327
ko05134	2.56205046088
ko05150	2.24179415327
ko05204	2.24179415327
