KO	B80_1	B80_2	B80_3	B80_4	B80_5	B80_6	LF_1	LF_2	LF_3	LF_4	LF_5	LF_6
ko00010	34.3515966596	33.6734001944	34.5996819266	33.5542717004	33.3924236922	33.7218222624	31.5948977927	32.310520362	30.6316585332	30.6554059265	29.6423076923	32.3106581576
ko00020	26.7974179912	26.3546245584	27.4794388277	25.332020657	26.1920834846	26.4454516308	20.4796024645	24.7874966729	19.2603615369	18.6974871581	17.8190540908	23.6034613821
ko00030	24.4277306919	23.6975602817	23.7527926086	22.8373617563	23.9843466295	23.7460141654	22.055903427	23.3068937982	20.9685889065	20.9858392337	20.1367219353	22.6321707002
ko00040	15.5854694656	15.7163382886	14.9112234466	13.5556158181	16.1381854322	15.1743857297	11.1639959343	15.7525951557	10.4230531308	9.50384870501	8.76425659147	13.9047501193
ko00052	12.8159230785	13.0703938165	11.8381423	11.6524630368	13.5282964775	12.2934944184	10.4980361647	13.1386079319	10.1959413018	9.40213182779	9.0165941832	12.1236409921
ko00053	7.48792921234	7.35393697987	7.67950319967	6.71867852006	7.41948739512	7.21769798012	5.18693453464	6.72458078254	4.65052580933	4.51171579743	4.1111986953	6.28620927396
ko00061	18.7838448308	18.8378737226	18.5389071907	17.7323319263	18.8735498175	18.5060771226	16.0398288389	18.3780775885	15.0331809746	14.6736236445	14.1295732536	17.5378047271
ko00071	30.7392709866	31.7038907461	33.2096065735	30.3713537859	30.9360295101	31.3204552741	22.9908019726	29.6644430397	21.3616915252	20.3287210576	18.6729953792	27.7697420758
ko00072	7.98304909132	8.06728785831	8.84221288197	7.3275874266	7.85221994992	8.12193593518	4.66514411916	7.10651783338	3.94539143584	3.60096873216	3.00039412884	6.30820089451
ko00120	0.593136747	0.602864120255	0.692377598546	0.556724125734	0.603562623039	0.601518551983	0.346626344255	0.539559488954	0.290896281531	0.286670677341	0.239671106279	0.490250499408
ko00190	49.4735893238	50.2563719563	50.3099322201	49.0559813238	50.3145008696	49.4538459296	46.2397886838	47.6254824328	45.8827926318	45.2873956839	44.8217858114	47.5455477575
ko00230	64.1349441532	63.1596604785	63.5784959673	61.8828259485	62.918120831	62.7404762599	57.9750787416	62.6317041522	55.6589971819	55.4207968902	53.7462489807	60.4988597592
ko00240	42.6216300226	42.4515968419	42.7995001704	41.8301931285	42.2803654364	42.3380308374	39.0998230666	40.9273190045	38.1617808784	37.9383435914	37.0251427018	40.5129846023
ko00250	29.113413598	28.8711382981	28.9691393086	28.3818473365	28.7332619789	28.5684514267	25.6265073848	28.1482066809	24.6559385525	24.4227559505	23.2754009242	27.378241731
ko00253	5.01954120646	5.10742821917	5.07442538529	4.90661919023	5.14523804973	5.09985718033	4.60054460353	5.10952887943	4.45778060348	4.44748330171	4.2554498505	4.87814450121
ko00260	33.6504755787	33.1484458354	33.3970805407	32.2498879902	32.9756885381	32.5754175289	27.349512492	31.6113920681	25.839731253	25.3823715427	24.0693259038	30.6072091502
ko00270	25.9986737675	25.34253266	25.7203226173	24.7593793477	25.2129355326	25.0765105366	22.1359124619	24.3809555496	21.0589903086	20.9713545282	19.7819380266	23.6246574858
ko00280	37.174834739	38.5588353842	40.7999545609	36.1062560426	37.7728063302	38.3024133609	25.6295315657	35.1152848017	23.4745686989	21.8343899918	19.706673009	32.302543886
ko00281	15.4412002404	15.5150674538	16.6760952706	14.437097649	15.0737562355	15.3851467545	9.88377608513	14.0437183923	8.55642999519	8.11984204112	7.09552867627	12.7843795853
ko00290	17.7492384525	17.4566706973	17.3980461206	16.9901431367	17.4069494085	17.2114314028	15.8164410034	17.3205682726	15.159495498	15.0648957996	14.3000543626	16.7164424488
ko00300	16.4478106803	16.8794603694	16.2982316634	15.9498196053	16.8433707307	16.201900376	14.1059843646	16.2976443971	13.9582789195	13.4091196569	13.0274123403	15.753319073
ko00310	19.8675218103	20.4277449795	21.433299254	18.9806164077	20.0117543625	20.2233670465	13.4518327038	18.674025153	12.2707058904	11.3450259923	10.1926202772	17.1654321424
ko00311	2.79441324575	2.77281456718	2.71691468817	2.6166906407	2.86884807248	2.74707802617	1.96132562021	2.59974713867	1.75152931473	1.67640026532	1.51764066322	2.42282602931
ko00312	1.89305178523	1.89802498992	1.82880836079	1.8277642842	1.97134993597	1.85436765863	1.43154183032	1.87124035134	1.31608701629	1.27309608651	1.17336232672	1.71177541676
ko00330	42.4877841557	42.3292789909	42.5621757734	41.3738062112	42.0271210413	41.63688828	37.9312343928	41.0891169816	36.7108564162	36.2281302544	34.7946996466	40.1858857638
ko00340	18.7963197049	18.8986651493	18.9883751751	18.0910227085	18.8576479807	18.4736803754	15.568144458	17.5824461006	14.9749982817	14.6724358678	13.8250747486	17.2232750544
ko00350	17.3716559256	17.1228631719	17.4843803249	16.3423727215	17.0676019189	16.8767378822	14.0111053946	16.0928267234	13.253419479	13.0346769093	12.3642701821	15.6757473439
ko00351	0.139254408687	0.147947933708	0.113332576016	0.10208220341	0.163089390493	0.140954268559	0.0797455170596	0.13534735161	0.0676506976424	0.0559026331621	0.0559119325904	0.120282143299
ko00360	27.1410158112	26.6439528653	29.2566549282	25.799160516	26.3284914279	27.12594363	18.1326875055	24.0522025552	15.9879716819	15.457232326	13.858222343	22.4730673361
ko00361	6.4728018733	7.13611684093	7.0496232345	6.17570212465	6.92884310315	6.46417849544	4.70802223589	6.03373702422	4.87579902399	4.46741326916	4.15139983691	5.85742570757
ko00362	26.4382576621	27.0632572255	29.6213033436	25.4658664843	26.3970680989	26.8042058935	16.9581383092	24.0470787863	15.3557117328	14.4426859179	12.642280511	22.3919599767
ko00363	3.9499347245	4.16577755649	3.99884509069	3.60039616101	4.08145868772	3.69177183829	2.72619241822	3.49870242215	2.55988384081	2.32727104447	2.18400380538	3.3765799848
ko00364	2.76187910562	3.31853853996	3.01223067894	2.91409437121	3.29836967948	2.98066105104	2.43494246527	3.17023223316	2.69413705409	2.36511021642	2.29766240826	3.01115491364
